,ISBN,Favourite-Generation,Book-Rating
3255,0060926015,millenial,8.6
3262,0060926201,genx,9.0
3269,0060926317,boomer+,9.0
3271,0060926430,youth,10.0
3278,0060926848,genz,8.0
3285,0060926945,millenial,7.666666666666667
3292,0060927216,genx,10.0
3295,0060927240,youth,10.0
3302,0060927488,genz,9.666666666666666
3308,0060927542,genz,6.0
3315,0060927569,millenial,8.8
3321,0060927860,millenial,7.5
3324,0060928336,teenager,9.5
3332,0060928360,genz,8.5
3338,0060928417,genz,9.0
3344,0060928514,genz,6.0
3352,0060928832,genx,10.0
3358,0060929375,genx,8.0
3363,0060929510,millenial,9.0
3369,0060929596,millenial,8.666666666666666
3375,0060929782,millenial,8.5
3379,0060929790,youth,9.0
3386,0060929804,genz,9.0
3393,0060929847,millenial,10.0
3398,0060929863,genz,9.0
3403,0060929871,youth,8.571428571428571
3409,006092988X,youth,9.5
3415,0060929898,youth,7.0
3422,0060929979,genz,8.0
3430,0060930071,genx,9.0
3436,0060930187,genx,10.0
3439,0060930535,youth,9.4
3448,006093056X,genx,8.0
3452,006093090X,genz,9.0
3457,0060930934,youth,10.0
3464,0060931221,genz,8.0
3471,0060931280,millenial,6.25
3478,0060931388,genx,10.0
3480,0060931396,teenager,10.0
3488,006093140X,genz,7.5
3492,0060931418,teenager,9.0
3502,0060931671,genx,10.0
3505,0060931736,youth,6.0
3512,0060931809,genz,7.666666666666667
3518,0060931914,genz,10.0
3523,0060932139,youth,10.0
3531,0060932147,millenial,7.0
3536,0060932171,genz,9.0
3544,0060932627,genx,10.0
3550,0060932759,genx,8.0
3554,0060932767,genz,7.666666666666667
3560,0060932813,genz,8.333333333333334
3568,0060932902,genx,8.5
3572,0060933267,genz,7.0
3580,0060933577,genx,9.0
3586,006093395X,genx,7.5
3590,0060934417,genz,8.6
3596,0060934425,genz,8.0
3602,0060934700,genz,8.666666666666666
3609,0060934719,millenial,8.5
3616,0060934794,genx,9.0
3621,0060934905,millenial,10.0
3626,0060934913,genz,10.0
3633,006093493X,millenial,8.0
3641,0060935332,boomer+,10.0
3646,0060935464,genx,9.666666666666666
3651,0060936142,millenial,7.666666666666667
3657,0060936231,millenial,7.666666666666667
3664,0060936363,genx,9.0
3667,0060937262,youth,10.0
3675,0060937319,millenial,10.0
3681,0060937742,millenial,10.0
3686,0060937866,genz,9.0
3693,0060938080,millenial,8.0
3700,0060938099,genx,7.666666666666667
3706,0060938412,genx,8.5
3708,0060938455,teenager,9.0
3716,0060950536,genz,10.0
3723,0060951303,millenial,10.0
3728,0060951311,genz,8.0
3736,0060951710,genx,9.0
3741,0060952423,millenial,8.0
3746,0060952520,genz,8.666666666666666
3751,0060952768,youth,8.0
3757,0060952970,youth,8.666666666666666
3766,0060953020,genx,10.0
3771,0060953225,millenial,7.25
3776,0060953691,genz,10.0
3782,0060953713,genz,6.666666666666667
3788,0060953748,genz,9.0
3796,0060955406,genx,8.0
3802,0060955570,genx,9.0
3804,0060955775,teenager,10.0
3813,0060956445,millenial,8.0
3820,0060956453,genx,9.0
3824,006095647X,genz,2.0
3830,0060956496,genz,6.0
3836,0060956860,genz,8.0
3842,0060957409,genz,8.75
3849,0060958014,millenial,7.666666666666667
3856,0060958022,genx,8.5
3860,0060958324,genz,8.5
3864,0060959037,teenager,10.0
3874,0060959355,genx,10.0
3879,0060959479,millenial,9.0
3886,006095955X,genx,9.0
3890,0060959681,genz,10.0
3898,0060960248,genx,10.0
3902,0060961325,genz,9.0
3908,0060962526,genz,7.5
3915,0060964049,millenial,8.090909090909092
3920,0060964057,genz,10.0
3925,0060965819,youth,10.0
3932,0060968966,genz,10.0
3937,006096975X,youth,10.0
3945,0060970790,millenial,9.0
3950,0060971479,genz,8.0
3957,0060972009,millenial,8.0
3962,0060972122,genz,8.833333333333334
3970,0060972459,genx,9.0
3976,006097270X,genx,8.0
3981,0060972777,millenial,7.5
3986,0060972874,genz,7.0
3992,0060972920,genz,9.0
3998,0060973277,genz,10.0
4005,0060973323,millenial,10.0
4010,0060973471,genz,8.0
4018,0060973595,genx,9.0
4023,0060973617,millenial,8.666666666666666
4028,0060973684,genz,8.0
4036,0060973722,genx,8.666666666666666
4040,0060973757,genz,10.0
4048,0060973897,genx,10.0
4053,0060974109,millenial,7.0
4059,0060974486,millenial,7.25
4064,0060974788,genz,10.0
4071,0060974990,millenial,9.0
4079,0060975210,boomer+,9.0
4082,0060975547,genz,9.0
4090,0060975644,genx,8.0
4095,0060975768,millenial,7.5
4102,0060975849,genx,9.0
4106,0060976241,genz,8.0
4113,0060976446,millenial,9.0
4120,0060976497,genx,8.0
4125,0060976624,millenial,8.666666666666666
4131,0060976683,millenial,7.0
4138,006097673X,genx,10.0
4145,0060976845,boomer+,7.833333333333333
4148,0060976926,genz,9.0
4156,0060976977,genx,10.0
4163,0060977027,boomer+,10.0
4167,0060977035,millenial,8.0
4172,0060977108,genz,8.0
4180,0060977191,genx,8.5
4183,0060977264,youth,9.0
4192,0060977337,genx,8.5
4198,0060977477,genx,9.5
4204,0060977493,genx,9.0
4210,0060977507,genx,9.0
4214,0060977744,genz,8.0
4220,0060981180,genz,8.5
4226,0060982020,genz,8.5
4232,0060984031,genz,10.0
4239,0060984333,millenial,10.0
4246,0060987049,genx,9.0
4249,0060987103,youth,9.0
4256,0060987219,genz,10.0
4263,006098726X,millenial,9.25
4269,0060987324,millenial,7.6
4273,0060987464,youth,9.0
4283,0060987529,boomer+,8.5
4285,0060987561,youth,10.0
4292,0060988096,genz,8.0
4299,006098824X,millenial,8.083333333333334
4304,0060988258,genz,8.5
4313,0060988649,boomer+,7.0
4316,0060989238,genz,10.0
4322,006099486X,genz,8.4
4329,0060995084,millenial,8.0
4334,0060995149,genz,8.5
4342,0061000019,genx,8.0
4349,0061000027,boomer+,10.0
4354,0061000035,genx,9.5
4361,0061000043,boomer+,9.0
4365,0061000078,millenial,9.5
4373,0061000175,boomer+,8.5
4378,0061000280,genx,7.0
4385,0061000299,boomer+,10.0
4388,006100037X,genz,7.0
4395,0061000760,millenial,8.0
4400,0061001023,genz,6.0
4406,0061002615,genz,5.0
4413,0061002747,millenial,9.0
4420,006100345X,genx,8.5
4424,0061003697,genz,6.0
4432,0061003794,genx,6.5
4438,0061006629,genx,8.5
4442,0061007129,genz,8.0
4448,0061007145,genz,8.0
4455,0061007153,millenial,6.0
4462,0061007161,genx,8.0
4466,006100717X,genz,7.0
4473,0061007226,millenial,7.0
4480,0061008079,genx,10.0
4485,0061008095,millenial,7.666666666666667
4491,0061008737,millenial,6.666666666666667
4498,0061008893,genx,6.0
4504,0061009032,genx,10.0
4506,0061009059,teenager,8.5
4515,0061009431,millenial,6.666666666666667
4520,0061009504,genz,8.0
4527,0061010251,millenial,9.0
4533,0061010650,millenial,8.0
4539,0061010707,millenial,9.0
4545,0061010871,millenial,9.0
4551,0061010995,millenial,8.666666666666666
4557,0061011509,millenial,9.0
4564,0061011738,genx,7.5
4569,0061011983,millenial,8.0
4575,0061012165,millenial,6.8
4581,0061012203,millenial,7.0
4589,0061012289,boomer+,5.0
4592,0061012351,genz,9.0
4599,0061012491,millenial,8.0
4606,0061012513,genx,8.333333333333334
4611,006101253X,millenial,8.333333333333334
4616,0061013315,genz,7.5
4623,0061013412,millenial,9.0
4629,0061013420,millenial,10.0
4636,0061013439,genx,9.2
4643,0061013463,boomer+,5.0
4649,006101351X,boomer+,9.0
4655,0061013706,boomer+,9.0
4659,0061014176,millenial,9.0
4665,006101432X,millenial,8.0
4672,0061014591,genx,9.0
4679,0061015725,boomer+,10.0
4683,0061020052,millenial,9.333333333333334
4688,0061020362,genz,10.0
4695,0061020397,millenial,8.5
4700,0061020400,genz,9.0
4706,0061020540,genz,10.0
4713,0061020559,millenial,10.0
4720,0061020613,genx,9.0
4726,0061020621,genx,9.666666666666666
4728,006102063X,teenager,9.0
4736,0061020648,genz,9.333333333333334
4741,0061020656,youth,10.0
4746,0061020664,teenager,9.0
4755,0061020672,millenial,8.5
4759,0061020680,youth,9.0
4766,0061020699,genz,8.5
4771,0061020702,youth,9.0
4776,0061020710,teenager,8.0
4784,0061020842,genz,9.0
4792,0061030015,genx,6.0
4796,006103004X,genz,9.0
4804,006103018X,genx,9.0
4809,0061030244,millenial,7.0
4817,0061030430,boomer+,9.0
4822,0061030597,genx,8.1
4826,0061030635,genz,9.0
4832,0061030643,genz,8.0
4839,0061030651,millenial,7.333333333333333
4845,006103066X,millenial,9.0
4851,006103083X,millenial,7.4
4856,0061030996,genz,10.0
4862,0061031011,genz,9.25
4869,006103102X,millenial,10.0
4875,0061031070,millenial,9.0
4880,0061031089,genz,8.0
4888,0061031127,genx,9.0
4894,0061031143,genx,9.0
4898,0061031151,genz,9.0
4906,0061031232,genx,8.0
4910,0061031321,genz,9.0
4919,0061031410,boomer+,8.0
4924,0061031429,genx,9.0
4929,0061031445,millenial,9.0
4935,0061031534,millenial,7.25
4941,0061031542,millenial,7.0
4946,0061031550,genz,9.0
4953,0061031569,millenial,8.0
4958,0061031755,genz,8.0
4967,0061031844,boomer+,9.0
4970,0061031992,genz,9.333333333333334
4974,0061032034,teenager,10.0
4981,0061032042,youth,8.0
4991,0061032069,boomer+,5.0
4997,0061032077,boomer+,8.0
5002,0061032093,genx,8.5
5007,0061032425,millenial,6.571428571428571
5013,0061040282,millenial,8.333333333333334
5021,0061040347,boomer+,8.0
5024,0061040797,genz,9.0
5031,0061041998,millenial,9.0
5039,0061042005,boomer+,10.0
5044,0061042935,genx,8.0
5049,0061042943,millenial,8.0
5056,0061043494,genx,8.0
5061,0061043508,millenial,10.0
5067,0061043966,millenial,6.5
5073,0061044431,millenial,8.4
5079,006104444X,millenial,7.5
5086,0061044490,genx,8.0
5090,0061044571,genz,8.0
5097,0061044636,millenial,8.2
5104,0061051578,genx,9.0
5109,0061052477,millenial,7.5
5114,0061052507,genz,10.0
5120,0061052892,genz,6.666666666666667
5125,0061053104,youth,8.0
5133,0061053147,millenial,7.5
5139,0061053309,millenial,7.5
5145,0061053538,millenial,7.333333333333333
5150,0061053554,genz,10.0
5157,006105366X,millenial,9.0
5163,0061053716,millenial,8.0
5169,0061054097,millenial,9.333333333333334
5175,0061054143,millenial,9.0
5181,0061054151,millenial,7.625
5187,0061054232,millenial,8.0
5190,0061054240,teenager,10.0
5199,0061054275,millenial,8.0
5204,0061054437,genz,9.0
5210,006105481X,genz,6.0
5216,0061054887,genz,10.0
5221,0061054895,youth,9.0
5228,0061054909,genz,6.833333333333333
5234,0061056014,genz,10.0
5240,0061056022,genz,10.0
5247,0061056219,millenial,8.666666666666666
5253,0061056774,millenial,7.2
5256,0061056871,teenager,8.0
5266,0061056898,genx,7.0
5270,0061056901,genz,10.0
5277,006105691X,millenial,10.0
5282,0061056928,genz,8.5
5289,0061057088,millenial,7.0
5295,0061057274,millenial,8.0
5303,0061057363,boomer+,9.0
5307,0061057568,millenial,8.0
