,ISBN,User-Generation,Book-Rating
181,0020198817,youth,0.0
182,0020198817,genz,7.833333333333333
183,0020198817,millenial,7.666666666666667
184,0020198817,genx,8.0
185,0020198817,boomer+,10.0
186,0020198906,teenager,0.0
187,0020198906,youth,0.0
188,0020198906,genz,0.0
189,0020198906,millenial,7.6
190,0020198906,genx,6.75
191,0020198906,boomer+,0.0
192,0020199600,teenager,0.0
193,0020199600,youth,9.0
194,0020199600,genz,8.6
195,0020199600,millenial,8.375
196,0020199600,genx,8.0
197,0020199600,boomer+,8.0
198,0020264763,teenager,0.0
199,0020264763,youth,0.0
200,0020264763,genz,10.0
201,0020264763,millenial,10.0
202,0020264763,genx,10.0
203,0020264763,boomer+,0.0
204,002026478X,teenager,0.0
205,002026478X,youth,0.0
206,002026478X,genz,5.0
207,002026478X,millenial,9.0
208,002026478X,genx,0.0
209,002026478X,boomer+,0.0
210,0020264801,teenager,0.0
211,0020264801,youth,0.0
212,0020264801,genz,9.0
213,0020264801,millenial,10.0
214,0020264801,genx,9.0
215,0020264801,boomer+,0.0
216,0020306652,teenager,0.0
217,0020306652,youth,0.0
218,0020306652,genz,10.0
219,0020306652,millenial,5.0
220,0020306652,genx,9.0
221,0020306652,boomer+,0.0
222,0020360754,teenager,0.0
223,0020360754,youth,0.0
224,0020360754,genz,8.0
225,0020360754,millenial,7.0
226,0020360754,genx,7.0
227,0020360754,boomer+,7.0
228,002040400X,teenager,0.0
229,002040400X,youth,0.0
230,002040400X,genz,0.0
231,002040400X,millenial,8.333333333333334
232,002040400X,genx,0.0
233,002040400X,boomer+,0.0
234,0020418809,teenager,9.0
235,0020418809,youth,0.0
236,0020418809,genz,10.0
237,0020418809,millenial,9.0
238,0020418809,genx,10.0
239,0020418809,boomer+,0.0
240,0020421907,teenager,0.0
241,0020421907,youth,0.0
242,0020421907,genz,9.5
243,0020421907,millenial,8.0
244,0020421907,genx,0.0
245,0020421907,boomer+,0.0
246,0020427115,teenager,0.0
247,0020427115,youth,5.0
248,0020427115,genz,9.5
249,0020427115,millenial,0.0
250,0020427115,genx,0.0
251,0020427115,boomer+,0.0
252,0020427859,teenager,0.0
253,0020427859,youth,4.0
254,0020427859,genz,8.0
255,0020427859,millenial,9.0
256,0020427859,genx,10.0
257,0020427859,boomer+,0.0
258,0020442009,teenager,0.0
259,0020442009,youth,0.0
260,0020442009,genz,8.0
261,0020442009,millenial,9.25
262,0020442009,genx,8.5
263,0020442009,boomer+,0.0
264,0020442106,teenager,0.0
265,0020442106,youth,0.0
266,0020442106,genz,8.0
267,0020442106,millenial,8.75
268,0020442106,genx,9.0
269,0020442106,boomer+,0.0
270,0020442203,teenager,10.0
271,0020442203,youth,0.0
272,0020442203,genz,8.2
273,0020442203,millenial,8.666666666666666
274,0020442203,genx,8.0
275,0020442203,boomer+,5.0
276,0020442300,teenager,0.0
277,0020442300,youth,0.0
278,0020442300,genz,9.0
279,0020442300,millenial,9.0
280,0020442300,genx,9.0
281,0020442300,boomer+,0.0
282,0020442408,teenager,6.0
283,0020442408,youth,0.0
284,0020442408,genz,8.0
285,0020442408,millenial,8.4
286,0020442408,genx,0.0
287,0020442408,boomer+,0.0
288,0020442505,teenager,0.0
289,0020442505,youth,0.0
290,0020442505,genz,7.0
291,0020442505,millenial,7.8
292,0020442505,genx,0.0
293,0020442505,boomer+,0.0
294,0020442602,teenager,0.0
295,0020442602,youth,0.0
296,0020442602,genz,9.0
297,0020442602,millenial,8.2
298,0020442602,genx,0.0
299,0020442602,boomer+,0.0
300,0020442807,teenager,0.0
301,0020442807,youth,0.0
302,0020442807,genz,8.0
303,0020442807,millenial,10.0
304,0020442807,genx,10.0
305,0020442807,boomer+,0.0
306,0020446500,teenager,0.0
307,0020446500,youth,0.0
308,0020446500,genz,8.666666666666666
309,0020446500,millenial,8.0
310,0020446500,genx,0.0
311,0020446500,boomer+,0.0
312,0020449313,teenager,10.0
313,0020449313,youth,7.5
314,0020449313,genz,0.0
315,0020449313,millenial,0.0
316,0020449313,genx,9.25
317,0020449313,boomer+,0.0
318,0020518501,teenager,0.0
319,0020518501,youth,0.0
320,0020518501,genz,7.0
321,0020518501,millenial,9.0
322,0020518501,genx,7.666666666666667
323,0020518501,boomer+,0.0
324,0020518609,teenager,0.0
325,0020518609,youth,0.0
326,0020518609,genz,8.5
327,0020518609,millenial,8.0
328,0020518609,genx,7.0
329,0020518609,boomer+,0.0
330,0020518706,teenager,0.0
331,0020518706,youth,0.0
332,0020518706,genz,9.0
333,0020518706,millenial,8.2
334,0020518706,genx,10.0
335,0020518706,boomer+,0.0
336,0020519001,teenager,0.0
337,0020519001,youth,5.0
338,0020519001,genz,7.0
339,0020519001,millenial,7.142857142857143
340,0020519001,genx,0.0
341,0020519001,boomer+,0.0
342,0020532105,teenager,0.0
343,0020532105,youth,0.0
344,0020532105,genz,8.75
345,0020532105,millenial,10.0
346,0020532105,genx,10.0
347,0020532105,boomer+,0.0
348,0020545509,teenager,0.0
349,0020545509,youth,7.0
350,0020545509,genz,8.0
351,0020545509,millenial,0.0
352,0020545509,genx,5.0
353,0020545509,boomer+,0.0
354,0020633505,teenager,0.0
355,0020633505,youth,0.0
356,0020633505,genz,8.0
357,0020633505,millenial,5.0
358,0020633505,genx,0.0
359,0020633505,boomer+,0.0
360,0020700105,teenager,0.0
361,0020700105,youth,0.0
362,0020700105,genz,7.0
363,0020700105,millenial,0.0
364,0020700105,genx,8.0
365,0020700105,boomer+,8.0
366,0020811853,teenager,0.0
367,0020811853,youth,0.0
368,0020811853,genz,0.0
369,0020811853,millenial,7.5
370,0020811853,genx,0.0
371,0020811853,boomer+,0.0
372,0020868308,teenager,0.0
373,0020868308,youth,0.0
374,0020868308,genz,10.0
375,0020868308,millenial,9.666666666666666
376,0020868308,genx,9.5
377,0020868308,boomer+,0.0
378,002089130X,teenager,0.0
379,002089130X,youth,0.0
380,002089130X,genz,0.0
381,002089130X,millenial,9.0
382,002089130X,genx,10.0
383,002089130X,boomer+,0.0
384,002411510X,teenager,0.0
385,002411510X,youth,0.0
386,002411510X,genz,9.0
387,002411510X,millenial,7.0
388,002411510X,genx,6.0
389,002411510X,boomer+,0.0
390,0024182001,teenager,0.0
391,0024182001,youth,0.0
392,0024182001,genz,5.0
393,0024182001,millenial,9.5
394,0024182001,genx,0.0
395,0024182001,boomer+,10.0
396,0025196359,teenager,0.0
397,0025196359,youth,0.0
398,0025196359,genz,0.0
399,0025196359,millenial,9.0
400,0025196359,genx,9.0
401,0025196359,boomer+,9.0
402,002542730X,teenager,7.0
403,002542730X,youth,10.0
404,002542730X,genz,7.846153846153846
405,002542730X,millenial,8.11111111111111
406,002542730X,genx,8.11111111111111
407,002542730X,boomer+,8.5
408,0026217457,teenager,0.0
409,0026217457,youth,0.0
410,0026217457,genz,0.0
411,0026217457,millenial,8.0
412,0026217457,genx,0.0
413,0026217457,boomer+,0.0
414,0028603869,teenager,0.0
415,0028603869,youth,0.0
416,0028603869,genz,8.5
417,0028603869,millenial,8.0
418,0028603869,genx,0.0
419,0028603869,boomer+,0.0
420,0028603958,teenager,0.0
421,0028603958,youth,0.0
422,0028603958,genz,0.0
423,0028603958,millenial,9.0
424,0028603958,genx,8.5
425,0028603958,boomer+,0.0
426,0028604032,teenager,0.0
427,0028604032,youth,0.0
428,0028604032,genz,0.0
429,0028604032,millenial,8.0
430,0028604032,genx,10.0
431,0028604032,boomer+,0.0
432,0028604199,teenager,0.0
433,0028604199,youth,0.0
434,0028604199,genz,6.666666666666667
435,0028604199,millenial,8.454545454545455
436,0028604199,genx,8.333333333333334
437,0028604199,boomer+,8.5
438,0028604202,teenager,0.0
439,0028604202,youth,0.0
440,0028604202,genz,9.0
441,0028604202,millenial,8.0
442,0028604202,genx,9.0
443,0028604202,boomer+,0.0
444,0028610105,teenager,0.0
445,0028610105,youth,0.0
446,0028610105,genz,0.0
447,0028610105,millenial,10.0
448,0028610105,genx,0.0
449,0028610105,boomer+,0.0
450,0028613228,teenager,0.0
451,0028613228,youth,0.0
452,0028613228,genz,0.0
453,0028613228,millenial,0.0
454,0028613228,genx,7.25
455,0028613228,boomer+,0.0
456,0030018897,teenager,0.0
457,0030018897,youth,0.0
458,0030018897,genz,9.0
459,0030018897,millenial,8.0
460,0030018897,genx,0.0
461,0030018897,boomer+,0.0
462,0030085373,teenager,0.0
463,0030085373,youth,0.0
464,0030085373,genz,0.0
465,0030085373,millenial,8.0
466,0030085373,genx,8.5
467,0030085373,boomer+,10.0
468,0030491266,teenager,0.0
469,0030491266,youth,0.0
470,0030491266,genz,0.0
471,0030491266,millenial,10.0
472,0030491266,genx,8.5
473,0030491266,boomer+,0.0
474,0030624363,teenager,0.0
475,0030624363,youth,7.0
476,0030624363,genz,6.0
477,0030624363,millenial,0.0
478,0030624363,genx,0.0
479,0030624363,boomer+,0.0
480,0030632366,teenager,0.0
481,0030632366,youth,0.0
482,0030632366,genz,0.0
483,0030632366,millenial,6.0
484,0030632366,genx,8.5
485,0030632366,boomer+,0.0
486,0044409494,teenager,0.0
487,0044409494,youth,0.0
488,0044409494,genz,10.0
489,0044409494,millenial,0.0
490,0044409494,genx,0.0
491,0044409494,boomer+,0.0
492,0048230871,teenager,0.0
493,0048230871,youth,0.0
494,0048230871,genz,10.0
495,0048230871,millenial,10.0
496,0048230871,genx,9.5
497,0048230871,boomer+,0.0
498,0060000805,teenager,0.0
499,0060000805,youth,0.0
500,0060000805,genz,0.0
501,0060000805,millenial,9.0
502,0060000805,genx,8.0
503,0060000805,boomer+,0.0
504,0060000961,teenager,0.0
505,0060000961,youth,0.0
506,0060000961,genz,6.0
507,0060000961,millenial,7.5
508,0060000961,genx,5.0
509,0060000961,boomer+,6.0
510,0060001453,teenager,0.0
511,0060001453,youth,0.0
512,0060001453,genz,8.5
513,0060001453,millenial,6.25
514,0060001453,genx,8.5
515,0060001453,boomer+,0.0
516,0060001801,teenager,0.0
517,0060001801,youth,0.0
518,0060001801,genz,0.0
519,0060001801,millenial,10.0
520,0060001801,genx,8.0
521,0060001801,boomer+,0.0
522,0060001941,teenager,0.0
523,0060001941,youth,0.0
524,0060001941,genz,10.0
525,0060001941,millenial,8.333333333333334
526,0060001941,genx,0.0
527,0060001941,boomer+,0.0
528,0060002050,teenager,0.0
529,0060002050,youth,7.0
530,0060002050,genz,6.0
531,0060002050,millenial,7.0
532,0060002050,genx,8.0
533,0060002050,boomer+,0.0
534,0060002069,teenager,0.0
535,0060002069,youth,0.0
536,0060002069,genz,7.0
537,0060002069,millenial,6.5
538,0060002069,genx,7.25
539,0060002069,boomer+,0.0
540,0060002077,teenager,0.0
541,0060002077,youth,7.0
542,0060002077,genz,10.0
543,0060002077,millenial,5.333333333333333
544,0060002077,genx,10.0
545,0060002077,boomer+,10.0
546,0060002093,teenager,0.0
547,0060002093,youth,0.0
548,0060002093,genz,6.0
549,0060002093,millenial,8.0
550,0060002093,genx,0.0
551,0060002093,boomer+,0.0
552,0060002492,teenager,4.0
553,0060002492,youth,0.0
554,0060002492,genz,7.0
555,0060002492,millenial,8.333333333333334
556,0060002492,genx,7.0
557,0060002492,boomer+,0.0
558,006000438X,teenager,0.0
559,006000438X,youth,0.0
560,006000438X,genz,9.0
561,006000438X,millenial,7.888888888888889
562,006000438X,genx,9.333333333333334
563,006000438X,boomer+,0.0
564,0060004533,teenager,0.0
565,0060004533,youth,0.0
566,0060004533,genz,8.0
567,0060004533,millenial,7.0
568,0060004533,genx,0.0
569,0060004533,boomer+,0.0
570,006000469X,teenager,0.0
571,006000469X,youth,0.0
572,006000469X,genz,0.0
573,006000469X,millenial,0.0
574,006000469X,genx,6.333333333333333
575,006000469X,boomer+,8.0
576,0060004746,teenager,0.0
577,0060004746,youth,0.0
578,0060004746,genz,8.0
579,0060004746,millenial,0.0
580,0060004746,genx,8.5
581,0060004746,boomer+,0.0
582,0060005424,teenager,8.0
583,0060005424,youth,8.25
584,0060005424,genz,8.5
585,0060005424,millenial,9.0
586,0060005424,genx,0.0
587,0060005424,boomer+,0.0
588,0060005548,teenager,0.0
589,0060005548,youth,0.0
590,0060005548,genz,0.0
591,0060005548,millenial,9.0
592,0060005548,genx,9.0
593,0060005548,boomer+,0.0
594,0060006641,teenager,0.0
595,0060006641,youth,0.0
596,0060006641,genz,10.0
597,0060006641,millenial,8.0
598,0060006641,genx,9.0
599,0060006641,boomer+,0.0
600,0060007192,teenager,6.0
601,0060007192,youth,0.0
602,0060007192,genz,8.5
603,0060007192,millenial,9.0
604,0060007192,genx,10.0
605,0060007192,boomer+,0.0
606,0060007575,teenager,0.0
607,0060007575,youth,0.0
608,0060007575,genz,0.0
609,0060007575,millenial,8.0
610,0060007575,genx,8.5
611,0060007575,boomer+,0.0
612,0060007788,teenager,0.0
613,0060007788,youth,0.0
614,0060007788,genz,8.333333333333334
615,0060007788,millenial,7.75
616,0060007788,genx,8.0
617,0060007788,boomer+,8.0
618,006000780X,teenager,0.0
619,006000780X,youth,0.0
620,006000780X,genz,9.0
621,006000780X,millenial,0.0
622,006000780X,genx,8.0
623,006000780X,boomer+,0.0
624,0060008024,teenager,0.0
625,0060008024,youth,8.0
626,0060008024,genz,10.0
627,0060008024,millenial,9.0
628,0060008024,genx,0.0
629,0060008024,boomer+,0.0
630,0060008032,teenager,0.0
631,0060008032,youth,0.0
632,0060008032,genz,7.714285714285714
633,0060008032,millenial,7.0
634,0060008032,genx,8.0
635,0060008032,boomer+,0.0
636,0060008369,teenager,0.0
637,0060008369,youth,0.0
638,0060008369,genz,0.0
639,0060008369,millenial,6.0
640,0060008369,genx,6.5
641,0060008369,boomer+,9.0
642,0060008725,teenager,0.0
643,0060008725,youth,0.0
644,0060008725,genz,0.0
645,0060008725,millenial,8.0
646,0060008725,genx,0.0
647,0060008725,boomer+,8.0
648,0060008776,teenager,0.0
649,0060008776,youth,0.0
650,0060008776,genz,7.0
651,0060008776,millenial,8.0
652,0060008776,genx,6.75
653,0060008776,boomer+,8.0
654,0060008865,teenager,0.0
655,0060008865,youth,0.0
656,0060008865,genz,0.0
657,0060008865,millenial,0.0
658,0060008865,genx,8.2
659,0060008865,boomer+,0.0
660,0060008873,teenager,0.0
661,0060008873,youth,0.0
662,0060008873,genz,0.0
663,0060008873,millenial,8.5
664,0060008873,genx,10.0
665,0060008873,boomer+,7.0
666,0060009012,teenager,0.0
667,0060009012,youth,0.0
668,0060009012,genz,0.0
669,0060009012,millenial,7.0
670,0060009012,genx,7.333333333333333
671,0060009012,boomer+,0.0
672,0060009241,teenager,0.0
673,0060009241,youth,0.0
674,0060009241,genz,7.0
675,0060009241,millenial,7.5
676,0060009241,genx,8.5
677,0060009241,boomer+,0.0
678,006000925X,teenager,0.0
679,006000925X,youth,0.0
680,006000925X,genz,0.0
681,006000925X,millenial,7.25
682,006000925X,genx,7.0
683,006000925X,boomer+,0.0
684,006000942X,teenager,0.0
685,006000942X,youth,0.0
686,006000942X,genz,0.0
687,006000942X,millenial,8.0
688,006000942X,genx,7.5
689,006000942X,boomer+,0.0
690,0060011572,teenager,0.0
691,0060011572,youth,0.0
692,0060011572,genz,9.5
693,0060011572,millenial,0.0
694,0060011572,genx,0.0
695,0060011572,boomer+,0.0
696,0060011904,teenager,0.0
697,0060011904,youth,0.0
698,0060011904,genz,0.0
699,0060011904,millenial,0.0
700,0060011904,genx,6.666666666666667
701,0060011904,boomer+,0.0
702,0060011912,teenager,0.0
703,0060011912,youth,1.0
704,0060011912,genz,7.0
705,0060011912,millenial,7.75
706,0060011912,genx,0.0
707,0060011912,boomer+,10.0
708,0060011939,teenager,8.0
709,0060011939,youth,0.0
710,0060011939,genz,8.0
711,0060011939,millenial,7.0
712,0060011939,genx,0.0
713,0060011939,boomer+,0.0
714,006001203X,teenager,0.0
715,006001203X,youth,0.0
716,006001203X,genz,7.0
717,006001203X,millenial,8.285714285714286
718,006001203X,genx,6.5
719,006001203X,boomer+,0.0
720,0060012331,teenager,0.0
721,0060012331,youth,0.0
722,0060012331,genz,9.0
723,0060012331,millenial,7.0
724,0060012331,genx,9.0
725,0060012331,boomer+,9.5
726,0060012358,teenager,0.0
727,0060012358,youth,0.0
728,0060012358,genz,6.0
729,0060012358,millenial,0.0
730,0060012358,genx,8.333333333333334
731,0060012358,boomer+,0.0
732,0060012781,teenager,0.0
733,0060012781,youth,8.0
734,0060012781,genz,0.0
735,0060012781,millenial,8.777777777777779
736,0060012781,genx,0.0
737,0060012781,boomer+,0.0
738,0060012811,teenager,0.0
739,0060012811,youth,0.0
740,0060012811,genz,0.0
741,0060012811,millenial,0.0
742,0060012811,genx,9.0
743,0060012811,boomer+,0.0
744,0060013117,teenager,0.0
745,0060013117,youth,0.0
746,0060013117,genz,0.0
747,0060013117,millenial,8.0
748,0060013117,genx,8.333333333333334
749,0060013117,boomer+,0.0
750,0060013125,teenager,0.0
751,0060013125,youth,10.0
752,0060013125,genz,8.5
753,0060013125,millenial,8.666666666666666
754,0060013125,genx,8.5
755,0060013125,boomer+,0.0
756,006001315X,teenager,0.0
757,006001315X,youth,0.0
758,006001315X,genz,0.0
759,006001315X,millenial,10.0
760,006001315X,genx,8.75
761,006001315X,boomer+,0.0
762,0060014342,teenager,0.0
763,0060014342,youth,0.0
764,0060014342,genz,0.0
765,0060014342,millenial,0.0
766,0060014342,genx,5.666666666666667
767,0060014342,boomer+,0.0
768,0060080841,teenager,0.0
769,0060080841,youth,9.0
770,0060080841,genz,8.142857142857142
771,0060080841,millenial,7.5
772,0060080841,genx,7.0
773,0060080841,boomer+,0.0
774,0060081597,teenager,0.0
775,0060081597,youth,0.0
776,0060081597,genz,7.333333333333333
777,0060081597,millenial,6.666666666666667
778,0060081597,genx,0.0
779,0060081597,boomer+,0.0
780,006008166X,teenager,0.0
781,006008166X,youth,0.0
782,006008166X,genz,0.0
783,006008166X,millenial,7.0
784,006008166X,genx,0.0
785,006008166X,boomer+,0.0
786,0060081961,teenager,0.0
787,0060081961,youth,0.0
788,0060081961,genz,7.0
789,0060081961,millenial,7.666666666666667
790,0060081961,genx,9.0
791,0060081961,boomer+,0.0
792,0060083255,teenager,0.0
793,0060083255,youth,0.0
794,0060083255,genz,0.0
795,0060083255,millenial,7.0
796,0060083255,genx,8.0
797,0060083255,boomer+,0.0
798,0060083263,teenager,0.0
799,0060083263,youth,0.0
800,0060083263,genz,8.5
801,0060083263,millenial,0.0
802,0060083263,genx,8.5
803,0060083263,boomer+,0.0
804,0060083298,teenager,0.0
805,0060083298,youth,9.0
806,0060083298,genz,8.0
807,0060083298,millenial,8.0
808,0060083298,genx,8.0
809,0060083298,boomer+,0.0
810,0060083425,teenager,0.0
811,0060083425,youth,0.0
812,0060083425,genz,7.0
813,0060083425,millenial,7.0
814,0060083425,genx,10.0
815,0060083425,boomer+,0.0
816,0060083948,teenager,0.0
817,0060083948,youth,0.0
818,0060083948,genz,6.5
819,0060083948,millenial,2.5
820,0060083948,genx,6.8
821,0060083948,boomer+,10.0
822,0060083956,teenager,0.0
823,0060083956,youth,0.0
824,0060083956,genz,0.0
825,0060083956,millenial,0.0
826,0060083956,genx,7.333333333333333
827,0060083956,boomer+,0.0
828,0060084405,teenager,0.0
829,0060084405,youth,0.0
830,0060084405,genz,8.5
831,0060084405,millenial,8.5
832,0060084405,genx,9.0
833,0060084405,boomer+,0.0
834,0060084456,teenager,0.0
835,0060084456,youth,0.0
836,0060084456,genz,0.0
837,0060084456,millenial,7.5
838,0060084456,genx,6.0
839,0060084456,boomer+,0.0
840,006008460X,teenager,0.0
841,006008460X,youth,10.0
842,006008460X,genz,7.0
843,006008460X,millenial,8.5
844,006008460X,genx,0.0
845,006008460X,boomer+,0.0
846,0060085444,teenager,0.0
847,0060085444,youth,0.0
848,0060085444,genz,9.0
849,0060085444,millenial,6.75
850,0060085444,genx,7.5
851,0060085444,boomer+,8.0
852,0060085452,teenager,6.0
853,0060085452,youth,0.0
854,0060085452,genz,8.833333333333334
855,0060085452,millenial,7.818181818181818
856,0060085452,genx,7.0
857,0060085452,boomer+,0.0
858,0060085495,teenager,0.0
859,0060085495,youth,0.0
860,0060085495,genz,8.0
861,0060085495,millenial,10.0
862,0060085495,genx,8.0
863,0060085495,boomer+,0.0
864,0060085894,teenager,0.0
865,0060085894,youth,0.0
866,0060085894,genz,0.0
867,0060085894,millenial,6.0
868,0060085894,genx,0.0
869,0060085894,boomer+,0.0
870,0060086246,teenager,0.0
871,0060086246,youth,0.0
872,0060086246,genz,9.0
873,0060086246,millenial,7.4
874,0060086246,genx,9.0
875,0060086246,boomer+,0.0
876,0060086386,teenager,0.0
877,0060086386,youth,0.0
878,0060086386,genz,7.0
879,0060086386,millenial,5.75
880,0060086386,genx,7.0
881,0060086386,boomer+,0.0
882,0060088877,teenager,0.0
883,0060088877,youth,0.0
884,0060088877,genz,10.0
885,0060088877,millenial,6.0
886,0060088877,genx,10.0
887,0060088877,boomer+,10.0
888,0060090251,teenager,0.0
889,0060090251,youth,0.0
890,0060090251,genz,0.0
891,0060090251,millenial,9.5
892,0060090251,genx,8.0
893,0060090251,boomer+,0.0
894,0060090367,teenager,0.0
895,0060090367,youth,0.0
896,0060090367,genz,7.333333333333333
897,0060090367,millenial,8.1
898,0060090367,genx,8.0
899,0060090367,boomer+,0.0
900,0060090375,teenager,0.0
901,0060090375,youth,0.0
902,0060090375,genz,7.0
903,0060090375,millenial,8.75
904,0060090375,genx,5.0
905,0060090375,boomer+,0.0
906,0060090383,teenager,0.0
907,0060090383,youth,7.0
908,0060090383,genz,7.5
909,0060090383,millenial,8.666666666666666
910,0060090383,genx,0.0
911,0060090383,boomer+,0.0
912,0060092130,teenager,0.0
913,0060092130,youth,0.0
914,0060092130,genz,0.0
915,0060092130,millenial,8.0
916,0060092130,genx,8.5
917,0060092130,boomer+,0.0
918,0060092149,teenager,0.0
919,0060092149,youth,0.0
920,0060092149,genz,0.0
921,0060092149,millenial,7.0
922,0060092149,genx,5.0
923,0060092149,boomer+,0.0
924,0060092645,teenager,0.0
925,0060092645,youth,0.0
926,0060092645,genz,6.0
927,0060092645,millenial,7.333333333333333
928,0060092645,genx,8.0
929,0060092645,boomer+,0.0
930,0060092653,teenager,0.0
931,0060092653,youth,0.0
932,0060092653,genz,0.0
933,0060092653,millenial,8.0
934,0060092653,genx,8.0
935,0060092653,boomer+,0.0
936,0060092661,teenager,0.0
937,0060092661,youth,0.0
