,Book-Title-Length,Book-Author,Book-Publisher,Publication-Era,Favourite-Generation
67,16,Ben Mezrich,Free Press,>=2000,millenial
68,5,Tom Clancy,Berkley Publishing Group,>=2000,genz
69,11,DANA REEVE,Random House,1980s-1990s,genz
70,5,Gabriel Garcia Marquez,Perennial,1980s-1990s,youth
71,5,Rebecca Wells,Perennial,1980s-1990s,boomer+
72,6,Tony Hillerman,HarperTorch,1980s-1990s,genx
73,4,Mary Higgins Clark,Pocket,>=2000,boomer+
74,5,Robert James Waller,Warner Books,1980s-1990s,millenial
75,3,IAN MCEWAN,Anchor,>=2000,genz
76,1,Anne Frasier,Onyx Books,>=2000,genz
77,7,Kay Hooper,Bantam Books,>=2000,boomer+
78,1,Daphne Du Maurier,Avon,1980s-1990s,genx
79,2,Nathaniel Hawthorne,Signet Book,1980s-1990s,genz
80,5,Laura Wolf,Delta,>=2000,genz
81,6,LOIS DUNCAN,Laure Leaf,1980s-1990s,millenial
82,3,Barbara Vine,Penguin Books Ltd,1980s-1990s,genx
83,4,Jane Lindskold,Tor Fantasy,>=2000,genz
84,3,Robert James Waller,Warner Books,1980s-1990s,genx
85,4,Betty Smith,Harpercollins Publisher,1980s-1990s,millenial
86,3,David Baldacci,Warner Books,>=2000,youth
87,6,Douglas Adams,Pocket,1980s-1990s,millenial
88,7,Mary Lawson,Delta,>=2000,teenager
89,2,Willa Cather,Mariner Books,1980s-1990s,youth
90,2,Olivia Goldsmith,Signet Book,>=2000,youth
91,3,Helen Fielding,Picador (UK),1980s-1990s,genx
92,6,Jane Austen,Dover Publications,1980s-1990s,youth
93,9,Lilian Jackson Braun,Putnam Pub Group,1980s-1990s,millenial
94,5,Piers Anthony,Del Rey Books,1980s-1990s,genz
95,3,RAY BRADBURY,Spectra,1980s-1990s,millenial
96,2,Ray Bradbury,Distribooks Inc,1980s-1990s,genz
97,8,Paolo Coelho,Distribooks,>=2000,youth
98,9,Sue Townsend,Heyne,>=2000,genz
99,3,Michael Moore,Piper,>=2000,millenial
100,2,Jonathan Franzen,"Rowohlt, Reinbek",>=2000,millenial
101,5,Milan Kundera,"Fischer (Tb.), Frankfurt",>=2000,genx
102,5,Arundhati Roy,Perennial,1980s-1990s,genx
103,6,James Patterson,"Little, Brown",>=2000,youth
104,3,James Patterson,"Little, Brown",>=2000,teenager
105,2,Richard North Patterson,Ballantine Books,1980s-1990s,genx
106,1,Michael Crichton,Ballantine Books,1980s-1990s,teenager
107,3,Richard North Patterson,Ballantine Books,>=2000,genx
108,4,Arthur Golden,Alfred A. Knopf,1980s-1990s,millenial
109,3,KENT HARUF,Vintage,>=2000,youth
110,7,Patricia D. Cornwell,Avon,1980s-1990s,millenial
111,7,Patricia D. Cornwell,Avon,1980s-1990s,youth
112,4,Kathleen E. Woodiwiss,Avon Trade,1980s-1990s,genz
113,3,Kathleen E. Woodiwiss,Avon,1980s-1990s,genx
114,3,Belva Plain,Bantam Dell Pub Group,1980s-1990s,millenial
115,2,JOHN GRISHAM,Doubleday,>=2000,youth
116,4,John Grisham,Doubleday Books,>=2000,boomer+
117,11,MARK HADDON,Doubleday,>=2000,youth
118,1,John Grisham,Doubleday,>=2000,youth
119,5,ANN BRASHARES,Delacorte Books for Young Readers,>=2000,boomer+
120,4,Erich Segal,Berkley Publishing Group,1980s-1990s,genz
121,6,James Patterson,Warner Vision,>=2000,millenial
122,2,Nicholas Sparks,Warner Books,>=2000,genz
123,3,JOHN SAUL,Ballantine Books,>=2000,genz
124,8,LORNA LANDVIK,Ballantine Books,1980s-1990s,millenial
125,2,Stephen King,Signet Book,1980s-1990s,genx
126,2,Steve Thayer,Signet Book,>=2000,genx
127,5,Tracy Chevalier,Plume Books,>=2000,youth
128,3,Judith Kelman,Jove Books,>=2000,genx
129,2,Michael Palmer,Bantam Books,>=2000,boomer+
130,3,Norman Bridwell,Scholastic,1980s-1990s,genz
131,5,Patricia Cornwell,Pocket,1980s-1990s,millenial
132,2,Dan Brown,Pocket,>=2000,millenial
133,3,Frank McCourt,Scribner,1980s-1990s,teenager
134,2,Dan Brown,Atria,>=2000,boomer+
135,3,Malachy McCourt,Hyperion,1980s-1990s,genz
136,7,Anne Perry,Ivy Books,1980s-1990s,millenial
137,11,ALEXANDER MCCALL SMITH,Anchor,>=2000,genz
138,10,Jack Canfield,Health Communications,1980s-1990s,genz
139,12,Gregory Maguire,Regan Books,1980s-1990s,youth
140,3,Yann Martel,Harcourt,>=2000,youth
141,16,Al Franken,Dutton Books,>=2000,teenager
142,2,DONNA TARTT,Ballantine Books,1980s-1990s,genz
143,13,Jack Canfield,Health Communications,1980s-1990s,genx
144,4,Anita Shreve,"Little, Brown",>=2000,millenial
145,5,Terry Pratchett,HarperTorch,>=2000,teenager
146,2,Terry Pratchett,HarperCollins,>=2000,genx
147,3,Terry Pratchett,HarperCollins Publishers,>=2000,millenial
148,7,J. M. Barrie,HarperFestival,>=2000,genz
149,17,Louise Rennison,HarperTempest,>=2000,genz
150,5,Jane Austen,Penguin Books Ltd,1980s-1990s,genz
151,11,Bernard Cornwell,St. Martin's Griffin,1980s-1990s,millenial
152,2,Charles de Lint,Orb Books,1980s-1990s,teenager
153,8,OSCAR WILDE,Modern Library,1980s-1990s,genx
154,8,PHILIP PULLMAN,Knopf Books for Young Readers,>=2000,teenager
155,19,Sue Townsend,Perennial,1980s-1990s,millenial
156,2,Tanuja Desai Hidier,Push,>=2000,teenager
157,4,SOPHIE KINSELLA,Dell,>=2000,genz
158,3,Isabel Wolff,Onyx Books,>=2000,millenial
159,4,Louisa May Alcott,Signet Classics,1980s-1990s,millenial
160,4,Jane Austen,Signet Classics,1980s-1990s,millenial
161,2,George Orwell,Signet,>=2000,genx
162,2,Isabel Allende,Bantam Books,1980s-1990s,millenial
163,4,A.S. BYATT,Vintage,1980s-1990s,genx
164,2,Joseph Heller,Simon & Schuster,1980s-1990s,genx
165,7,Alan Moore,DC Comics,>=2000,millenial
166,2,Neil Gaiman,Dark Horse Comics,>=2000,genz
167,4,Tom Wolfe,Farrar Straus & Giroux,1980s-1990s,genx
168,8,Brady Udall,Vintage Books USA,>=2000,millenial
169,4,Homer Hickam,Dell,1980s-1990s,boomer+
170,3,John Grisham,Dell Publishing Company,>=2000,boomer+
171,3,Pearl Abraham,Riverhead Books,1980s-1990s,millenial
172,7,Thomas Hardy,NTC/Contemporary Publishing Company,1980s-1990s,genz
173,11,Sebastian Junger,Perennial,1980s-1990s,genx
174,4,Karen Armstrong,Ballantine Books,>=2000,millenial
175,4,David Brin,Spectra Books,1980s-1990s,genz
176,2,Brian Kaufman,Last Knight Pub Co,>=2000,genz
177,3,John Darnton,St. Martin's Press,1980s-1990s,millenial
178,11,DAVID EDDINGS,Del Rey,1980s-1990s,millenial
179,1,Paul Reiser,Avon,1980s-1990s,millenial
180,4,Dave Barry,Ballantine Books,1980s-1990s,youth
181,1,Frank M. Robinson,Tor Books,>=2000,millenial
182,4,Mary Wollstonecraft Shelley,Dover Publications,1980s-1990s,genx
183,3,Patricia Cornwell,Scribner,1980s-1990s,genx
184,4,Douglas Adams,Ballantine Books,1980s-1990s,millenial
185,6,A. Manette Ansay,Perennial,1980s-1990s,genx
186,1,Sarah Waters,Riverhead Books,>=2000,genz
187,4,Anne Frank,"Editores Mexicanos Unidos, S.A.",>=2000,millenial
188,15,Greg Palast,Plume Books,>=2000,genx
189,5,Tom Clancy,Berkley Publishing Group,1980s-1990s,genz
190,6,Nevada Barr,Avon,>=2000,genx
191,5,Paul Auster,Anagrama,1980s-1990s,genz
192,6,Margaret Maron,Warner Books,1980s-1990s,genx
193,2,Ann Patchett,HarperCollins Publishers,>=2000,genx
194,5,Roald Dahl,Penguin USA (Paper),>=2000,millenial
195,5,Sue Monk Kidd,Penguin Books,>=2000,boomer+
196,4,Dan Brown,St. Martin's Press,>=2000,teenager
197,4,Colleen McCullough,Avon,1980s-1990s,genx
198,4,Joanne Harris,Perennial,>=2000,millenial
199,2,John Grisham,Doubleday Books,1980s-1990s,genx
200,26,Thomas Cahill,Anchor,1980s-1990s,boomer+
201,2,John Grisham,Doubleday Books,1980s-1990s,boomer+
202,5,Jane Smiley,Ballantine Books,>=2000,genx
203,1,Dick Francis,Fawcett Books,1980s-1990s,boomer+
204,6,Nora Roberts,Jove Books,>=2000,genz
205,2,Douglas Adams,Random House Inc,1980s-1990s,genx
206,12,Walter Wick,Scholastic,1980s-1990s,genz
207,2,Barbara Delinsky,Pocket,>=2000,millenial
208,3,Barbara Delinsky,Pocket Books,>=2000,millenial
209,3,Christopher Rice,Pocket Star,>=2000,genz
210,10,Joan Anderson,Broadway Books,>=2000,genz
211,3,Antoine de Saint-ExupÃÂ©ry,Harcourt,before 1980s,youth
212,3,Richard Bach,Avon,before 1980s,boomer+
213,10,"Scott, Cunningham",Llewellyn Publications,1980s-1990s,youth
214,9,Lewis Carroll,Signet Classics,>=2000,youth
215,3,Mary Higgins Clark,Pocket,1980s-1990s,genx
216,5,Mark Twain,Tor Books,1980s-1990s,genx
217,8,Rebecca Wells,HarperCollins,1980s-1990s,genz
218,2,Dog Mary Crow,Perennial,1980s-1990s,genx
219,11,Sebastian Junger,HarperTorch,1980s-1990s,boomer+
220,5,Alice Sebold,"Little, Brown",>=2000,youth
221,1,Thomas Harris,Dell Publishing Company,>=2000,youth
222,3,EDWARD RUTHERFURD,Fawcett,1980s-1990s,millenial
223,3,Margaret Atwood,Fawcett Books,1980s-1990s,millenial
224,1,Dorothy Allison,Plume Books,1980s-1990s,millenial
225,3,Margaret Atwood,Bantam,1980s-1990s,genz
226,7,MAYA ANGELOU,Random House,1980s-1990s,millenial
227,9,Elizabeth Wurtzel,Riverhead Books,1980s-1990s,youth
228,9,Don Miguel Ruiz,Amber-Allen Publishing,1980s-1990s,genx
229,13,Carmen Rico-Godoy,Ediciones Temas de Hoy,1980s-1990s,millenial
230,5,Leo Tolstoy,NTC/Contemporary Publishing Company,1980s-1990s,teenager
231,2,Sandra Dallas,St. Martin's Griffin,>=2000,youth
232,2,Piers Anthony,Ballantine Books,1980s-1990s,genx
233,2,Piers Anthony,Ballantine Books,1980s-1990s,genz
234,6,Anne McCaffrey,Del Rey Books,1980s-1990s,youth
235,3,Laura Zigman,Dial Books,>=2000,millenial
236,2,John Grisham,Bantam Dell Publishing Group,1980s-1990s,teenager
237,8,Margaret Truman,Fawcett Books,1980s-1990s,millenial
238,9,Nic Kynaston,Bantam Books,>=2000,youth
239,6,Sam Bobrick,Price Stern Sloan,1980s-1990s,millenial
240,3,NATHANIEL HAWTHORNE,Bantam,before 1980s,youth
241,4,Anne McCaffrey,Bantam,before 1980s,genx
242,2,Luanne Rice,Bantam Books,>=2000,millenial
243,3,Alice Sebold,Back Bay Books,>=2000,teenager
244,3,T. Coraghessan Boyle,Penguin Books,1980s-1990s,genz
245,5,JOHN IRVING,Ballantine Books,1980s-1990s,millenial
246,2,Richard Russo,Vintage Books USA,>=2000,youth
247,3,Margaret Atwood,Nan A. Talese,>=2000,genx
248,12,Jostein Gaarder,Berkley Publishing Group,1980s-1990s,genz
249,3,ANNA QUINDLEN,Dell,1980s-1990s,boomer+
250,5,Diane Johnson,Plume Books,1980s-1990s,genz
251,2,DEAN KOONTZ,Bantam,>=2000,millenial
252,6,Wally Lamb,Pocket,1980s-1990s,boomer+
253,10,Adeline Yen Mah,Broadway Books,1980s-1990s,genx
254,9,Barbara Ehrenreich,Owl Books,>=2000,boomer+
255,7,DOROTHY DUNNETT,Vintage,1980s-1990s,genx
256,3,JOHN LE CARRE,Bantam,1980s-1990s,boomer+
257,7,Olivia Goldsmith,Pocket,1980s-1990s,millenial
258,13,Tim Lahaye,Tyndale House Publishers,1980s-1990s,youth
259,1,AD HUDLER,Ballantine Books,>=2000,genz
260,4,Ted L. Nancy,William Morrow,1980s-1990s,teenager
261,2,Stephen King,Pocket,>=2000,teenager
262,10,Joyce Reardon,Hyperion,>=2000,genz
263,4,Sidney Sheldon,Warner Books,>=2000,genx
264,11,Mary Higgins Clark,Simon & Schuster,>=2000,genx
265,5,Tim Dorsey,HarperTorch,>=2000,millenial
266,3,JODI COMPTON,Delacorte Press,>=2000,genx
267,2,Elmore Leonard,Dell Publishing Company,>=2000,genz
268,3,Barbara Kingsolver,Perennial,1980s-1990s,boomer+
269,4,Barbara Kingsolver,Perennial,1980s-1990s,millenial
270,5,Vikram Seth,Perennial,1980s-1990s,millenial
271,3,Isabel Allende,Perennial,>=2000,genx
272,5,Tony Hillerman,HarperTorch,1980s-1990s,genx
273,5,Anita Diamant,Picador USA,1980s-1990s,youth
274,5,Lauren Haney,Avon,1980s-1990s,millenial
275,5,Lilian Jackson Braun,Putnam Pub Group,1980s-1990s,genz
276,3,Patricia Daniels Cornwell,Putnam Publishing Group,>=2000,millenial
277,4,Maeve Binchy,Signet Book,>=2000,millenial
278,11,Martha Grimes,Onyx Books,>=2000,genx
279,9,Sarah Orne Jewett,Dover Publications,1980s-1990s,genx
280,10,Mil Millington,Villard Books,>=2000,genz
281,5,Emma McLaughlin,St. Martin's Press,>=2000,teenager
282,14,Adele Lang,Thomas Dunne Books,>=2000,genx
283,1,Patricia Daniels Cornwell,Harper Mass Market Paperbacks (Mm),1980s-1990s,genx
284,2,Catherine Coulter,Jove Books,1980s-1990s,boomer+
285,3,Dominick Dunne,Bantam Books,1980s-1990s,genz
286,6,Clive Cussler,Pocket,1980s-1990s,boomer+
287,5,Mary Higgins Clark,Pocket,1980s-1990s,youth
288,5,Jonathan Safran Foer,Houghton Mifflin Company,>=2000,genz
289,3,Yann Martel,Harvest Books,>=2000,teenager
290,2,JULIA GLASS,Anchor,>=2000,boomer+
291,2,Tawni O'Dell,Signet Book,>=2000,genx
292,5,Jennifer Weiner,Atria Books,>=2000,youth
293,2,Danielle Steel,Delacorte Press,>=2000,genx
294,6,Russell Banks,Perennial,1980s-1990s,genx
295,9,Samuel Taylor Coleridge,Dover Publications,1980s-1990s,millenial
296,3,Bobbie Ann Mason,Perennial,1980s-1990s,millenial
297,2,Nora Roberts,Bantam Books,1980s-1990s,genx
298,2,Karen Robards,Dell Publishing Company,>=2000,genz
299,1,Dean R. Koontz,Berkley Publishing Group,>=2000,millenial
300,7,Faye Kellerman,Avon,>=2000,genz
301,9,Jacquelyn Mitchard,Penguin Books,1980s-1990s,teenager
302,2,Nora Roberts,Silhouette,>=2000,boomer+
303,6,JANE SMILEY,Ballantine Books,1980s-1990s,genz
304,2,DIANE MOTT DAVIDSON,Bantam,>=2000,millenial
305,2,Candace Bushnell,Grove Press,>=2000,youth
306,2,Nora Roberts,Jove Books,>=2000,teenager
307,2,KRISTIN HANNAH,Ballantine Books,>=2000,genz
308,3,Michael Marshall,Jove Books,>=2000,genx
309,3,John Grisham,Doubleday Books,1980s-1990s,teenager
310,2,John Grisham,Doubleday Books,1980s-1990s,genx
311,6,Wilbur Smith,St. Martin's Paperbacks,>=2000,genz
312,2,John Grisham,Doubleday Books,1980s-1990s,genx
313,2,Michael Slade,Signet Book,1980s-1990s,millenial
314,2,John Sandford,Berkley Publishing Group,>=2000,millenial
315,3,TAMI HOAG,Bantam,1980s-1990s,millenial
316,2,TAMI HOAG,Bantam,1980s-1990s,genz
317,6,Mary Higgins Clark,Pocket,>=2000,boomer+
318,2,C. S. Lewis,MacMillan Publishing Company.,before 1980s,millenial
319,1,Robin Cook,Berkley Publishing Group,>=2000,boomer+
320,10,Ann Rule,Pocket,>=2000,genx
321,7,ANNE RICE,Ballantine Books,1980s-1990s,teenager
322,6,Anne Rice,Ballantine Books,1980s-1990s,genz
323,3,Marilyn French,Ballantine Books,1980s-1990s,millenial
324,3,Armistead Maupin,HarperCollins Publishers,>=2000,genz
325,5,Julie Morgenstern,Henry Holt & Company,1980s-1990s,millenial
326,3,Peter Straub,Random House Inc,1980s-1990s,millenial
327,11,Jack,Hyperion Books,1980s-1990s,millenial
328,1,Danielle Steel,Delacorte Press,1980s-1990s,genx
329,3,Lisa Jackson,Zebra Books,>=2000,youth
330,2,SHARYN MCCRUMB,Ballantine Books,1980s-1990s,millenial
331,7,Kay Hooper,Bantam Books,>=2000,genx
332,4,Mary Higgins Clark,Simon & Schuster,>=2000,genx
333,2,Justine Korman,Golden Books Publishing Company,1980s-1990s,genz
334,2,Mercedes Lackey,Tor Books,1980s-1990s,millenial
335,4,Mercedes Lackey,Tor Books,1980s-1990s,genz
336,19,Moveon,Inner Ocean Publishing,>=2000,millenial
337,5,CHARLES FRAZIER,Vintage,>=2000,youth
338,6,Fannie Flagg,Warner Books,1980s-1990s,boomer+
339,4,Frank McCourt,Scribner,1980s-1990s,teenager
340,3,LISA GARDNER,Bantam,>=2000,genx
341,9,Julia Spencer-Fleming,St. Martin's Minotaur,>=2000,boomer+
342,8,PHILIP PULLMAN,Del Rey,>=2000,genx
343,8,PHILIP PULLMAN,Del Rey,1980s-1990s,genz
344,8,PHILIP PULLMAN,Knopf Books for Young Readers,1980s-1990s,youth
345,6,Sharyn McCrumb,Fawcett Books,1980s-1990s,millenial
346,3,Sharyn McCrumb,Signet Book,1980s-1990s,genx
347,10,Eric Schlosser,Perennial,>=2000,teenager
348,3,Suzanne Brockmann,Ivy Books,>=2000,millenial
349,3,Gail Carson Levine,Avon,>=2000,teenager
350,11,FRANCES KUFFEL,Broadway,>=2000,millenial
351,4,Susan Conant,Bantam Books,1980s-1990s,genx
352,3,DAVID SCHICKLER,Delta,>=2000,genz
353,1,Maeve Binchy,Dell,1980s-1990s,genx
354,7,Judith McNaught,Pocket,>=2000,boomer+
355,3,Ray Bradbury,Spectra Books,1980s-1990s,boomer+
356,8,Janet Evanovich,HarperTorch,1980s-1990s,teenager
357,7,Sylvia Plath,Perennial,>=2000,genx
358,2,Richard North Patterson,Alfred A. Knopf,1980s-1990s,millenial
359,3,Fern Michaels,Zebra Books,>=2000,boomer+
360,2,Fern Michaels,Zebra Books,>=2000,millenial
361,1,Bruce Sterling,Spectra Books,1980s-1990s,genx
362,7,James Patterson,Warner Books,1980s-1990s,teenager
363,8,Sarah Ban Breathnach,Warner Books,1980s-1990s,boomer+
364,3,Alice Hoffman,Berkley Publishing Group,>=2000,genx
365,2,Lisa Scottoline,HarperTorch,1980s-1990s,millenial
366,18,Spencer Johnson,Putnam Pub Group (Paper),1980s-1990s,youth
367,2,Charles Webb,Washington Square Press,>=2000,genz
368,3,Elizabeth Benedict,Mariner Books,>=2000,millenial
369,11,Martha Beck,Berkley Publishing Group,>=2000,genz
370,7,Jack Kerouac,Penguin USA (Paper),1980s-1990s,genz
371,3,Martin Buber,Free Press,before 1980s,genz
372,5,NiccolÃÂ² Machiavelli,Dover Publications,1980s-1990s,millenial
373,7,Paul Monette,HarperSanFrancisco,1980s-1990s,genx
374,5,Ernest Hemingway,Scribner,1980s-1990s,millenial
375,3,Alisa Kwitney,Avon Trade,>=2000,youth
376,8,Billie Letts,Warner Books,1980s-1990s,youth
377,7,Melissa Bank,Penguin Books,>=2000,teenager
378,5,Moon Unit Zappa,Touchstone,>=2000,millenial
379,2,Gwyn Hyman Rubio,Penguin Books,>=2000,teenager
380,11,Elisabeth Robinson,"Little, Brown",>=2000,genx
381,4,Audrey Niffenegger,MacAdam/Cage Publishing,>=2000,teenager
382,6,Anita Shreve,Harvest Books,1980s-1990s,genz
383,5,Tim Farrington,HarperSanFrancisco,>=2000,millenial
384,2,Chaim Potok,Fawcett Books,1980s-1990s,genz
385,4,Chaim Potok,Fawcett Books,1980s-1990s,genz
386,1,Jean Giono,LGF,1980s-1990s,millenial
387,6,Alain-Fournier,Distribooks Inc,>=2000,millenial
388,5,Erich Maria Remarque,LGF,before 1980s,genz
389,5,Lewis,Pocket,>=2000,youth
390,4,C. Baudelaire,Livre De Poche French,before 1980s,millenial
391,4,Sten Nadolny,Piper,1980s-1990s,genz
392,6,Jane Austen,Penguin Books Ltd,1980s-1990s,youth
393,3,Hera Lind,"Fischer (Tb.), Frankfurt",1980s-1990s,millenial
394,5,Arundhati Roy,btb,1980s-1990s,genz
395,4,Dan Brown,Doubleday,>=2000,youth
396,2,Nicholas Sparks,Warner Books,>=2000,genz
397,5,Jane Hamilton,Doubleday Books,1980s-1990s,genz
398,6,Helen Fielding,Viking Books,>=2000,youth
399,6,A. Manette Ansay,HarperCollins,1980s-1990s,genz
400,16,Anita Shreve,"Little, Brown",1980s-1990s,genx
401,2,Dave Barry,Berkley Publishing Group,>=2000,millenial
402,4,David Guterson,Harcourt,1980s-1990s,genz
403,2,JOHN GRISHAM,Doubleday,>=2000,teenager
404,2,Bernhard Schlink,Random House,1980s-1990s,genx
405,2,KRISTIN HANNAH,Crown,>=2000,millenial
406,5,Patricia Gaffney,HarperCollins,1980s-1990s,genz
407,3,Mary Higgins Clark,Simon & Schuster,>=2000,millenial
408,4,Barbara Delinsky,Simon & Schuster,>=2000,boomer+
409,8,Richard Paul Evans,Simon & Schuster,1980s-1990s,millenial
410,5,Marc Levy,Atria,>=2000,millenial
411,8,John Irving,Modern Library,1980s-1990s,genz
412,4,VLADIMIR NABOKOV,Everyman's Library,1980s-1990s,genz
413,4,Nicholas Sparks,Warner Books,1980s-1990s,genx
414,6,Jennifer Lauck,Atria,>=2000,millenial
415,3,Richard North Patterson,Random House Inc,>=2000,millenial
416,6,Joe Keenan,Penguin Books,1980s-1990s,genx
417,3,Jeanne Ray,Harmony,>=2000,boomer+
418,2,Nicholas Sparks,Warner Books,>=2000,youth
419,3,Nicholas Sparks,Warner Books,>=2000,youth
420,3,Tony Parsons,Sourcebooks Landmark,>=2000,genz
421,15,Laura Esquivel,Doubleday Books,1980s-1990s,genx
422,10,J.R.R. TOLKIEN,Del Rey,1980s-1990s,boomer+
423,11,Sebastian Junger,Little Brown and Company,1980s-1990s,genz
424,2,Nora Roberts,Putnam Publishing Group,>=2000,teenager
425,3,Jan Karon,Viking Books,>=2000,genz
426,8,Cormac McCarthy,Alfred A. Knopf,1980s-1990s,genz
427,4,James Patterson,"Little, Brown",>=2000,youth
428,8,Mary Higgins Clark,Scribner,>=2000,genz
429,2,James Patterson,"Little, Brown",>=2000,youth
430,4,Richard Paul Evans,Simon & Schuster,>=2000,genz
431,4,John McEnroe,Putnam Publishing Group,>=2000,genx
432,4,Barbara Delinsky,Simon & Schuster,1980s-1990s,millenial
433,4,Linda Lay Shuler,Signet Book,1980s-1990s,genx
434,10,Paul Theroux,Pocket Books,1980s-1990s,genx
435,10,Lemony Snicket,HarperCollins,1980s-1990s,youth
436,4,Gabriel Garcia Marquez,LGF,1980s-1990s,genz
437,16,Jacob Weisberg,Fireside,>=2000,genx
438,2,Bernard Werber,LGF,>=2000,genz
439,12,ALLAN ZOLA KRONZEK,Broadway,>=2000,millenial
440,8,Gordon Jarvie,Penguin Books Ltd,1980s-1990s,genx
441,3,Elizabeth Strout,Random House Inc,1980s-1990s,genx
442,6,Russell Banks,Perennial,1980s-1990s,youth
443,5,David Sedaris,Back Bay Books,>=2000,teenager
444,3,Leslie Feinberg,Firebrand Books,1980s-1990s,millenial
445,1,Neil Gaiman,Perennial,>=2000,millenial
446,7,Jill Thompson,DC Comics,>=2000,millenial
447,6,Jody Seay,Firebrand Books,1980s-1990s,genx
448,4,Dean R. Koontz,Signet Book,1980s-1990s,boomer+
449,6,Jeff Foxworthy,Warner Books (Mm),1980s-1990s,millenial
450,8,Terry Brooks,Del Rey Books,1980s-1990s,millenial
451,9,Tamora Pierce,Random House Children's Books,1980s-1990s,youth
