,User-ID,User-City,User-State,User-Country,User-Generation,Old-Book-Rating,New-Book-Rating
44,508,portland, oregon," usa""",millenial,7.0,6.0
45,512,winter springs, florida," usa""",genx,,5.0
46,523,bozeman, montana," usa""",youth,,8.0
47,565,franklin, tennessee," usa""",genx,8.0,
48,595,hollywood, florida," usa""",youth,10.0,9.0
49,596,san francisco, california," usa""",genx,,8.0
50,620,toronto, ontario," canada""",genx,7.0,
51,625,marseille, provence," france""",millenial,9.5,8.0
52,626,graz, steiermark," austria""",millenial,10.0,
53,638,san diego, california," usa""",genz,9.470588235294118,9.285714285714286
54,643,grenoble, rhone-alpes," france""",genz,7.0,8.75
55,651,interlachen, florida," usa""",genz,6.777777777777778,6.75
56,677,baton rouge, louisiana," usa""",genz,,8.0
57,683,union, illinois," usa""",genz,8.0,
58,685,stevens point, wisconsin," usa""",genz,7.0,10.0
59,709,roanoke, virginia," usa""",teenager,8.75,7.666666666666667
60,712,pratteln, baselland," switzerland""",millenial,5.5,
61,726,eatontown, new jersey," usa""",millenial,10.0,8.333333333333334
62,735,cortland, new york," usa""",millenial,7.0,7.833333333333333
63,741,novinger, missouri," usa""",teenager,10.0,10.0
64,744,ocala, florida," usa""",genx,7.666666666666667,
65,746,longmont, colorado," usa""",millenial,6.5,8.0
66,757,philadelphia, pennsylvania," usa""",millenial,8.0,
67,771,ft. sill, oklahoma," usa""",millenial,10.0,
68,774,wentzville, missouri," usa""",teenager,8.0,
69,776,auckland, n/a," new zealand""",genz,8.5,7.5
70,777,portland, ,,teenager,9.0,
71,786,panhandle, texas," usa""",genx,,4.5
72,805,sonoma, california," usa""",millenial,8.5,8.5
73,824,albuquerque, new mexico," usa""",teenager,5.0,
74,828,albuquerque, new mexico," usa""",millenial,10.0,
75,834,rockville, maryland," usa""",youth,,4.166666666666667
76,843,deer lodge, tennessee," usa""",genz,8.0,8.0
77,850,bremen, bremen," germany""",genz,,6.0
78,853,chesterfield, michigan," usa""",genz,7.333333333333333,
79,882,berkeley, california," usa""",genz,9.1,7.3
80,883,brookfield, connecticut," usa""",millenial,7.0,
81,887,castaic, california," usa""",millenial,8.0,
82,899,bielefeld, nordrhein-westfalen," germany""",genz,,5.0
83,900,scranton, pennsylvania," usa""",genz,6.25,
84,901,worcester, worcestershire," united kingdom""",genz,8.0,10.0
85,902,overland, missouri," usa""",youth,,8.0
86,903,los angeles, california," usa""",youth,9.0,
87,913,manchester, lancs," united kingdom""",millenial,8.0,
88,915,humble, texas," usa""",genx,,10.0
89,929,king of prussia, ,,millenial,6.916666666666667,7.0
90,938,calgary, alberta," canada""",genx,,9.0
91,965,las cruces, new mexico," usa""",genz,,9.0
92,969,river forest, illinois," usa""",teenager,,8.0
93,999,newark, delaware," usa""",genz,7.0,
94,1009,delano, minnesota," usa""",genx,9.0,9.0
95,1010,silver spring, maryland," usa""",genz,5.0,
96,1025,maidstone, england," united kingdom""",millenial,7.333333333333333,8.666666666666666
97,1031,sparks, maryland," usa""",genx,,7.0
98,1038,dallas, texas," usa""",genz,5.0,
99,1048,oakville, ontario," canada""",genz,9.0,
100,1054,burnsville, minnesota," usa""",millenial,,8.5
101,1057,norwich, norfolk," united kingdom""",youth,10.0,6.0
102,1060,lincoln, nebraska," usa""",millenial,,8.0
103,1063,edmonton, alberta," canada""",youth,5.0,
104,1075,hurst, texas," usa""",genx,9.0,7.875
105,1082,rochester, washington," usa""",millenial,10.0,
106,1113,richmond, missouri," usa""",genz,9.0,
107,1116,calgary, alberta," canada""",millenial,6.0,6.0
108,1129,bothell, washington," usa""",genx,5.333333333333333,6.4
109,1131,berkeley, ,,genz,7.2,6.875
110,1133,kingswood, south australia," australia""",genx,,8.0
111,1140,bridgewater, new jersey," usa""",youth,10.0,
112,1150,jericho, vermont," usa""",genz,10.0,
113,1155,smyrna, georgia," usa""",genz,7.0,8.333333333333334
114,1164,woburn, massachusetts," usa""",millenial,10.0,
115,1166,nantes, loire-atlantique," france""",genz,9.0,
116,1167,milwaukee, wisconsin," usa""",genz,7.0,7.0
117,1169,olympia, washington," usa""",genz,,6.0
118,1180,storrs, connecticut," usa""",genz,,10.0
119,1184,la mirada, california," usa""",millenial,,5.0
120,1211,rennes, bretagne," france""",genz,7.6,8.0
121,1214,speicher, rheinland-pfalz," germany""",millenial,8.0,8.0
122,1219,taiping, perak," malaysia""",youth,,6.0
123,1234,barbera del valles, barcelona," spain""",genz,9.0,
124,1250,arlington, virginia," usa""",millenial,,8.0
125,1254,16605 bennington ct, indiana," usa""",genz,10.0,
126,1259,whistler, british columbia," canada""",millenial,7.0,
127,1261,el paso, texas," usa""",genx,7.0,7.25
128,1281,london, england," united kingdom""",millenial,,7.0
129,1297,los gatos, california," usa""",millenial,7.0,8.0
130,1309,walker, louisiana," usa""",genz,10.0,8.5
131,1331,lisboa, n/a," portugal""",millenial,9.0,
132,1343,bishop auckland, england," united kingdom""",millenial,10.0,
133,1368,hopewell, virginia," usa""",genz,,6.5
134,1372,frankfurt, hessen," germany""",millenial,,10.0
135,1375,dinwiddie, virginia," usa""",genx,,5.0
136,1377,swansea, massachusetts," usa""",genz,8.0,
137,1389,trenton, michigan," usa""",genz,9.0,
138,1396,santa barbara, california," usa""",millenial,10.0,
139,1399,york, maine," usa""",millenial,,9.0
140,1403,virginia beach, virginia," usa""",genz,,8.0
141,1409,farmington hills, michigan," usa""",boomer+,8.0,7.2
142,1410,amherst, new york," usa""",genz,,9.0
143,1412,winston-salem, north carolina," usa""",genx,8.333333333333334,8.25
144,1427,mililani, hawaii," usa""",genz,10.0,
145,1433,woodbridge, california," usa""",genx,,3.0
146,1435,st. louis, missouri," usa""",millenial,7.923076923076923,6.0
147,1448,la mesa, california," usa""",boomer+,,6.0
148,1485,allendale, new jersey," usa""",millenial,9.0,
149,1486,montmorency, victoria," australia""",boomer+,,5.0
150,1489,somerville, massachusetts," usa""",genz,8.0,
151,1491,sheffield, england," united kingdom""",genz,7.0,
152,1511,cuyahoga falls, ohio," usa""",genz,8.0,
153,1513,oak hill, virginia," usa""",millenial,8.0,
154,1515,bloomington, indiana," usa""",genz,,9.0
155,1519,raleigh, north carolina," usa""",boomer+,,8.0
156,1530,hartsdale, new york," usa""",genz,,8.0
157,1535,virginia beach, virginia," usa""",boomer+,10.0,
158,1548,brooklyn, new york," usa""",genz,7.714285714285714,6.333333333333333
159,1554,lincoln, nebraska," usa""",millenial,,9.0
160,1558,normal, illinois," usa""",boomer+,10.0,8.666666666666666
161,1570,brooklyn, new york," usa""",genz,10.0,
162,1585,albuquerque, new mexico," usa""",millenial,6.833333333333333,6.0
163,1586,north muskegon, michigan," united kingdom""",teenager,,7.0
164,1589,clio, michigan,,genx,,5.0
165,1591,flensburg, schleswig-holstein," germany""",genz,10.0,
166,1596,jackson, tennessee," usa""",genx,,5.666666666666667
167,1597,west columbia, texas," usa""",genz,5.333333333333333,7.0
168,1608,collingswood, new jersey," usa""",genz,7.8,
169,1617,chicago, illinois," usa""",genz,7.5,
170,1641,winston salem, north carolina," usa""",genz,7.0,
171,1674,minneapolis, minnesota," usa""",genz,8.25,8.25
172,1688,chelmsford, england," united kingdom""",genx,5.0,5.5
173,1696,las palmas gc, las palmas," spain""",millenial,,8.0
174,1706,olympia, washington," usa""",genz,7.666666666666667,7.0
175,1718,framingham, massachusetts," usa""",genz,,8.0
176,1721,windsor, ontario," canada""",genz,9.0,
177,1725,palma, illes balears," united kingdom""",genz,10.0,8.0
178,1730,el paso, texas," usa""",millenial,,8.0
179,1733,independence, west virginia," usa""",millenial,7.6,7.086956521739131
180,1759,hollywood, florida," usa""",millenial,8.0,
181,1768,newington, connecticut," usa""",genz,,10.0
182,1773,northridge, california," usa""",teenager,9.0,
183,1775,albuquerque, new mexico," usa""",teenager,,8.0
184,1790,chicago, illinois," usa""",genz,7.0,4.0
185,1803,northville, new york," usa""",genx,,9.0
186,1812,provo, utah," usa""",genz,7.0,8.5
187,1846,strasbourg, alsace," france""",genz,,10.0
188,1848,bellingham, washington," usa""",genz,8.666666666666666,8.714285714285714
189,1863,feucht, bayern," germany""",millenial,8.0,
190,1869,westfield, massachusetts," usa""",genz,8.0,
191,1881,binghamton, new york," usa""",millenial,4.0,
192,1892,fort wayne, indiana," usa""",genx,,9.0
193,1898,waukegan, illinois," usa""",genx,8.333333333333334,8.0
194,1903,hualien, taiwan," taiwan""",millenial,8.5,5.25
195,1918,london, england," united kingdom""",genz,,8.0
196,1928,kansas city, missouri," usa""",youth,9.0,10.0
197,1937,bozeman, montana," usa""",millenial,,7.0
198,1945,wrightsville beach, north carolina," usa""",genx,10.0,
199,1951,karlsruhe, baden-württemberg," germany""",genz,7.0,
200,1989,phoenix, arizona," usa""",genz,,9.0
201,1996,sydney, new south wales," australia""",millenial,8.0,7.0
202,2012,bray, wicklow,,millenial,7.4,6.333333333333333
203,2018,edson, alberta," canada""",genz,5.0,
204,2019,carcavelos, n/a," portugal""",millenial,5.0,
205,2030,seabeck, washington," usa""",millenial,10.0,9.666666666666666
206,2033,omaha, nebraska," usa""",genz,9.036363636363637,9.235294117647058
207,2035,longwood, florida," usa""",teenager,8.0,
208,2036,frenchtown, new jersey," usa""",genx,,8.5
209,2060,pennsauken, new york," usa""",genx,9.0,
210,2070,pembroke pines, florida," usa""",genz,9.0,
211,2084,logroño, la rioja," spain""",genz,9.0,7.0
212,2090,dudley, massachusetts," usa""",genz,7.25,
213,2103,minneapolis, minnesota," usa""",millenial,9.8,8.0
214,2106,denver, colorado," usa""",millenial,8.0,5.5
215,2115,escondido, california," usa""",genx,,7.0
216,2134,oakland, california," usa""",millenial,,10.0
217,2136,salem, oregon," usa""",genx,8.0,8.0
218,2139,chesapeake, virginia," usa""",millenial,10.0,8.6
219,2147,las vegas, nevada," usa""",millenial,,8.0
220,2170,kassel, hessen," germany""",millenial,7.0,
221,2172,quezon city, n/a," philippines""",youth,,5.0
222,2179,sunderland, massachusetts," usa""",millenial,9.25,9.142857142857142
223,2181,montreal, quebec," canada""",teenager,,8.0
224,2189,montreal, quebec," canada""",genz,,7.0
225,2190,lenexa, kansas," usa""",millenial,,7.0
226,2197,, travelling," canada""",genz,9.0,8.5
227,2203,woking, surrey," united kingdom""",millenial,7.0,
228,2218,stratham, new hampshire," usa""",genx,8.0,
229,2224,paris, ile de france," france""",genz,7.0,
230,2230,harpers ferry, west virginia," usa""",millenial,,2.0
231,2238,san diego, california," usa""",millenial,10.0,
232,2255,charlottesville, virginia," usa""",millenial,8.0,7.5
233,2276,niskayuna, new york," usa""",genx,8.770833333333334,8.903225806451612
234,2281,vancouver, washington," usa""",millenial,,7.0
235,2287,north chili, new york," usa""",millenial,6.333333333333333,6.0
236,2288,spring hill, tennessee," usa""",millenial,6.833333333333333,9.25
237,2295,el sobrante, california," usa""",genz,7.0,
238,2296,wenatchee, washington," usa""",boomer+,8.0,7.0
239,2313,cincinnati, ohio," usa""",genz,7.538461538461538,5.333333333333333
240,2326,porto, porto," portugal""",genz,8.0,9.0
241,2337,grove city, ohio," usa""",millenial,9.0,7.25
242,2340,st. louis, missouri," usa""",millenial,,4.0
243,2345,london, england," united kingdom""",genx,,9.0
244,2350,st. louis, missouri," usa""",genz,,8.0
245,2357,philadelphia, pennsylvania," usa""",millenial,,8.0
246,2358,bryan, texas," usa""",genz,7.5,9.0
247,2363,mountain home, idaho," usa""",millenial,9.0,6.0
248,2366,lathrup village, michigan," usa""",teenager,8.0,
249,2375,norfolk, virginia," usa""",genz,9.0,7.0
250,2376,bay village, ohio," usa""",millenial,,6.0
251,2388,hawley, pennsylvania," usa""",boomer+,,6.0
252,2399,kent, ohio," usa""",millenial,7.666666666666667,
253,2411,lake city, florida," usa""",millenial,,4.5
254,2416,seville, n/a," spain""",genz,,7.0
255,2417,lakeland, florida," usa""",millenial,,7.0
256,2437,san antonio, texas," usa""",genx,9.0,8.0
257,2439,atlanta, georgia," usa""",genz,8.666666666666666,7.5
258,2442,torino, ,,genz,10.0,
259,2461,san francisco, california," usa""",genx,8.0,
260,2470,phoenix, arizona," usa""",genz,9.0,
261,2499,boulder, colorado," usa""",genx,,5.0
262,2503,london, england," united kingdom""",millenial,,7.0
263,2515,reus, tarragona," spain""",millenial,,7.0
264,2545,freiburg, baden-wuerttemberg," germany""",genx,5.0,4.0
265,2549,nice, alpes maritimes," france""",millenial,,7.0
266,2562,wheeling, illinois," usa""",genx,,8.0
267,2578,burlington, ontario," canada""",teenager,8.0,
268,2590,el cerrito, california," usa""",genz,,9.0
269,2605,marina del rey, california," usa""",millenial,,7.0
270,2622,los angeles, california," usa""",millenial,,10.0
271,2630,kingsland, texas," usa""",boomer+,8.0,
272,2632,farmingdale, new york," usa""",genx,,9.0
273,2634,addison, texas," usa""",genx,,8.0
274,2640,college station, texas," usa""",genz,8.0,
275,2643,cedar park, texas," usa""",genz,9.0,
276,2653,los angeles, california," usa""",genx,,9.0
277,2679,weston-super-mare, somerset," united kingdom""",millenial,7.0,
278,2685,monteporzio catone(roma), lazio," italy""",genz,9.0,
279,2687,tucson, arizona," usa""",millenial,8.0,
280,2690,cordele, georgia," usa""",millenial,4.0,
281,2700,kenosha, wisconsin," usa""",millenial,,7.0
282,2719,staten island, new york," usa""",millenial,6.8,7.0
283,2738,milano, lombardia," italy""",millenial,,6.0
284,2749,bridge lake, british columbia," canada""",youth,10.0,
285,2766,frisco, texas," usa""",millenial,7.774193548387097,8.0
286,2789,barcelona, catalunya," spain""",genz,8.0,
287,2790,san antonio, texas," usa""",genx,8.0,
288,2793,jefferson, georgia," usa""",millenial,6.0,7.5
289,2854,deptford, new jersey," usa""",millenial,7.0,6.0
290,2855,dallas, texas," usa""",millenial,5.0,7.5
291,2861,columbus, ohio," usa""",genz,10.0,
292,2883,pacific grove, california," usa""",millenial,10.0,
293,2892,portland, oregon," usa""",genz,,9.0
294,2906,paris, ile de france," france""",genz,,3.0
295,2914,san jose, california," usa""",millenial,,7.0
296,2936,london, london," united kingdom""",millenial,4.0,
297,2945,franklin, tennessee," usa""",millenial,,8.0
298,2948,raleigh, north carolina," usa""",genz,,10.0
299,2954,wichita, kansas," usa""",boomer+,,10.0
300,2977,richland, washington," usa""",genz,7.9375,6.375
301,2982,montreal, quebec," canada""",millenial,8.0,
302,2995,belleville, illinois," usa""",boomer+,6.0,
303,2996,milan, lombardia," italy""",genz,7.5,
304,3032,sydney, new south wales," australia""",millenial,,1.0
305,3052,houston, texas," usa""",millenial,,9.0
306,3053,frankfurt, hessen," germany""",millenial,10.0,
307,3063,fort washington, maryland," usa""",genx,7.0,
308,3087,berthoud, colorado," usa""",genz,9.0,
309,3088,avignon, vaucluse," france""",genz,7.0,
310,3100,oakland, california," usa""",millenial,,6.0
311,3104,watertown, massachusetts," usa""",genz,,7.5
312,3133,wapakoneta, ohio," usa""",millenial,9.0,
313,3142,lawrenceville, georgia," usa""",millenial,,8.0
314,3145,austin, texas," usa""",millenial,8.571428571428571,8.0
315,3150,phoenix, arizona," usa""",genx,9.0,
316,3166,dallas, georgia," usa""",teenager,10.0,
317,3167,milwaukee, wisconsin," usa""",millenial,7.958333333333333,8.333333333333334
318,3168,mississauga, ontario," canada""",youth,,8.0
319,3172,arlington, virginia," usa""",millenial,10.0,
320,3174,flagstaff, arizona," usa""",genz,10.0,
321,3191,sligo, connaught," ireland""",millenial,,6.333333333333333
322,3194,logan, utah," usa""",genz,10.0,
323,3197,ore city, texas," usa""",millenial,7.0,
324,3200,pamplona, navarra," spain""",millenial,,7.0
325,3206,bilbao, vizcaya," spain""",genz,8.0,
326,3243,atlanta, georgia," usa""",genz,,7.0
327,3260,lawrenceville, georgia," usa""",genx,,7.0
328,3261,lenexa, ,,millenial,,8.0
329,3282,didsbury, alberta," canada""",genx,9.428571428571429,8.666666666666666
330,3289,petawawa, ontario," canada""",millenial,5.0,
331,3293,barcelona, barcelona," spain""",youth,8.5,
332,3296,rochester, minnesota," usa""",boomer+,,9.0
333,3300,cabot, arkansas," usa""",genx,,10.0
334,3305,halifax, nova scotia," canada""",genz,,10.0
335,3326,bonn, nordrhein-westfalen," germany""",millenial,7.0,
336,3331,mckeesport, pennsylvania," usa""",genx,8.0,8.375
337,3332,hartlepool, cleveland," united kingdom""",genx,,7.0
338,3344,tucson, arizona," usa""",boomer+,,7.8
339,3346,tehran, tehran," iran""",genz,7.842105263157895,7.25
340,3350,colorado springs, colorado," usa""",genz,10.0,7.333333333333333
341,3355,barcelona, barcelona," spain""",youth,8.0,
342,3363,knoxville, tennessee," usa""",millenial,9.666666666666666,9.0
343,3371,groveland, massachusetts," usa""",genz,7.894736842105263,7.636363636363637
344,3373,elk grove, california," usa""",millenial,6.75,6.25
345,3374,ajax, ontario," canada""",genx,8.0,8.0
346,3379,toronto, ontario," canada""",teenager,,8.0
347,3393,aurora, illinois," usa""",genx,,9.0
348,3416,aachen, nordrhein-westfalen," germany""",millenial,9.0,8.0
349,3418,san diego, california," usa""",teenager,7.0,10.0
350,3427,eldorado, illinois," usa""",genx,9.0,6.5
351,3445,la mirada, california," usa""",genx,6.0,
352,3460,edmonton, alberta," canada""",millenial,6.0,
353,3467,fort wayne, indiana," usa""",millenial,9.0,8.5
354,3472,seattle, washington," usa""",genz,9.0,
355,3481,littleton, colorado," usa""",genx,8.0,7.0
356,3488,ljubljana, n/a," slovenia""",genz,9.0,
357,3505,florissant, missouri," usa""",millenial,8.0,
358,3508,edinburgh, scotland," united kingdom""",genx,7.0,
359,3509,san diego, california," usa""",millenial,,8.0
360,3514,evansville, indiana," usa""",genz,,9.0
361,3538,madrid, madrid," spain""",millenial,10.0,9.0
362,3543,elgin, texas," usa""",millenial,9.0,10.0
363,3544,edgewater, maryland," usa""",genx,,8.0
364,3546,milwaukee, wisconsin," usa""",genz,,8.0
365,3556,bismarck, north dakota," usa""",boomer+,9.0,9.5
366,3573,fair lawn, new jersey," usa""",millenial,9.0,
367,3578,halifax, nova scotia," canada""",genz,9.2,9.0
368,3580,essington, pennsylvania," usa""",millenial,6.0,4.0
369,3594,auckland, n/a," new zealand""",genx,7.666666666666667,6.333333333333333
370,3601,tallahassee, florida," usa""",millenial,8.0,7.0
371,3605,bristol, rhode island," usa""",genz,6.5,8.0
372,3632,edgewater, new jersey,,millenial,,8.0
373,3655,tucker, georgia,,millenial,,8.0
374,3669,williamsburg, massachusetts," usa""",millenial,9.5,8.0
375,3675,barcelona, catalunya," spain""",genz,7.0,7.0
376,3679,allston, massachusetts," usa""",genz,,6.0
377,3693,hampton, virginia," usa""",genz,7.0,9.0
378,3694,raleigh, north carolina," usa""",teenager,8.0,
379,3709,lucama, north carolina," usa""",millenial,,8.5
380,3719,eielson afb, alaska," usa""",youth,7.833333333333333,7.2
381,3728,pembroke pines, florida," usa""",millenial,,8.0
382,3752,langenthal, bern," switzerland""",millenial,6.0,5.0
383,3756,round rock, texas," usa""",millenial,,7.0
384,3771,barcelona, n/a," spain""",youth,,7.0
385,3775,port angeles, washington," usa""",genx,8.0,6.0
386,3789,munich, bayern," germany""",genz,,10.0
387,3792,sacramento, california," usa""",,10.0,
388,3799,norwich, england," united kingdom""",youth,,8.5
389,3816,roma, lazio," italy""",millenial,7.0,
390,3817,columbia, south carolina," usa""",millenial,8.2,7.0
391,3821,scottdale, pennsylvania," usa""",millenial,,7.0
392,3827,orlando, florida," usa""",genz,8.5,8.15
393,3840,meriden, connecticut," usa""",genx,,8.833333333333334
394,3865,chandler, arizona," usa""",genz,7.0,
395,3869,chapel hill, north carolina," usa""",millenial,,9.0
396,3884,arlington, washington," usa""",boomer+,,8.0
397,3910,allston, massachusetts," usa""",genz,,7.0
398,3917,toronto, ontario," canada""",genz,7.6923076923076925,7.0
399,3921,geneva, illinois," usa""",genx,,5.0
400,3930,barcelona, catalunya," spain""",genx,,7.0
401,3938,los banos, california," usa""",millenial,9.0,
402,3939,kenai, alaska," usa""",genx,7.5,
403,3954,detroit, michigan," usa""",genz,,5.0
404,3975,c.m.c.h., new jersey," usa""",millenial,,9.0
405,3977,columbiana, alabama," usa""",boomer+,8.5,6.0
406,3999,new braunfels, texas," usa""",boomer+,,10.0
407,4017,new orleans, louisiana," usa""",genx,9.107142857142858,9.076923076923077
408,4035,alameda, california," usa""",genx,8.0,7.0
409,4051,bath, england," united kingdom""",millenial,10.0,
410,4066,birmingham, alabama," usa""",millenial,8.333333333333334,7.0
411,4091,estill springs, tennessee," usa""",boomer+,8.0,6.8
412,4092,hixson, tennessee," usa""",genz,7.666666666666667,6.5
413,4096,newmarket, ontario," canada""",millenial,,6.0
414,4098,mei foo, kowloon," hong kong""",millenial,8.0,7.25
415,4107,kelowna, british columbia," canada""",youth,7.5,
416,4122,portland, oregon," usa""",genz,8.0,
417,4131,hemel hempstead, england," united kingdom""",genx,8.666666666666666,6.5
418,4138,austin, texas," usa""",genz,,6.666666666666667
419,4144,winnipeg, manitoba," canada""",millenial,6.5,8.0
420,4157,birmingham, alabama," usa""",millenial,6.875,9.0
421,4165,kasilof, alaska," usa""",genx,6.0,
422,4169,fairbanks, alaska," usa""",genx,,9.0
423,4179,fairbanks, alaska," usa""",youth,7.0,8.0
424,4181,anchorage, alaska," usa""",millenial,,6.0
425,4183,anchorage, alaska," usa""",genx,,6.0
426,4185,graham, washington," usa""",boomer+,8.0,
427,4187,wasilla, alaska," usa""",millenial,7.0,9.0
428,4188,north pole, alaska," usa""",millenial,,9.0
429,4191,juneau, alaska," usa""",genz,8.5,
430,4197,anchorage, alaska," usa""",boomer+,,7.3
431,4198,new port richey, florida," usa""",teenager,,10.0
432,4223,oldenburg, niedersachsen," germany""",genz,8.0,6.666666666666667
433,4225,ottawa, ontario," canada""",millenial,8.0,5.5
434,4228,austin, texas," usa""",millenial,8.666666666666666,7.0
435,4260,lyon, n/a," france""",millenial,7.0,8.0
436,4278,copenhagen, n/a," denmark""",millenial,10.0,
437,4285,adrian, michigan," usa""",genx,5.0,
438,4333,fuengirola, málaga," spain""",youth,,8.0
439,4334,rome, lazio," italy""",millenial,7.6,7.0
440,4339,lleida, catalunya," spain""",millenial,,7.0
441,4343,matsudo, chiba," japan""",millenial,,5.0
442,4365,victoria, british columbia," canada""",youth,10.0,5.0
443,4370,kingston, ontario," canada""",genx,,5.0
444,4375,rockville, connecticut," usa""",millenial,3.0,
445,4385,albq, new mexico," usa""",millenial,9.928571428571429,9.8
446,4420,balgach, st.gallen," switzerland""",genz,8.333333333333334,
447,4433,ploiesti, prahova," romania""",youth,8.5,9.0
448,4444,washington, dc," usa""",millenial,,6.0
449,4497,vienna, n/a," austria""",genz,1.0,
450,4516,greenville, south carolina," usa""",boomer+,,8.0
451,4539,box hill, victoria," australia""",millenial,7.0,
452,4541,atlanta, georgia," usa""",millenial,8.0,8.0
453,4547,cento, ferrara," italy""",genz,5.0,
454,4570,santa monica, california," usa""",millenial,7.333333333333333,6.0
455,4571,melbourne, victoria," australia""",genz,8.0,7.5
456,4573,santa cruz, california," usa""",millenial,,10.0
457,4591,salzburg, salzburg," austria""",genz,,7.0
458,4600,little rock, arkansas," usa""",millenial,7.0,7.6
459,4622,norfolk, virginia," usa""",youth,5.6,7.8
460,4714,mentor, ohio," usa""",genz,9.0,
461,4720,paris, ile de france," france""",millenial,,8.0
462,4769,ny, new york," usa""",millenial,7.0,
463,4784,arvada, colorado," usa""",genz,,5.0
464,4785,litchfield, connecticut," usa""",millenial,7.428571428571429,6.75
465,4795,rochester, new york," usa""",youth,8.666666666666666,8.88888888888889
466,4802,london, england," united kingdom""",genz,9.0,8.0
467,4821,lagrangeville, new york," usa""",millenial,,5.666666666666667
468,4823,van nuys, california," usa""",millenial,8.0,
469,4864,atascadero, california," usa""",millenial,5.0,10.0
470,4870,seattle, washington," usa""",millenial,8.0,
471,4886,getxo, vizcaya," spain""",millenial,,4.0
472,4896,ploiesti, prahova," romania""",youth,10.0,10.0
473,4900,washington, dc,,genz,,7.0
474,4938,charleston, south carolina," usa""",millenial,8.545454545454545,7.666666666666667
475,4947,lisboa, n/a," portugal""",millenial,8.0,
476,4972,tuilla de langreo, asturias," spain""",genz,6.0,
477,4973,toronto, ontario," canada""",millenial,8.0,
478,4980,arvada, colorado," usa""",genz,,7.0
479,4994,largo, florida," usa""",teenager,,7.0
480,4995,chicago, illinois," usa""",millenial,,7.0
481,4999,aurora, colorado," usa""",genx,,10.0
482,5012,san francisco, california," usa""",genz,10.0,
483,5027,south auckland, n/a," new zealand""",millenial,10.0,10.0
484,5034,carlisle, pennsylvania," usa""",genz,,10.0
485,5037,dodge center, minnesota," usa""",genz,7.4,6.75
486,5049,inver grove heights, minnesota," usa""",millenial,,8.0
487,5055,brunswick, maine," usa""",teenager,6.5,
488,5062,san francisco, california," usa""",genz,,1.0
489,5079,padova, veneto," italy""",millenial,7.0,
490,5100,boise, idaho," usa""",millenial,7.0,
491,5102,madrid, madrid," spain""",millenial,8.0,
492,5126,chula vista, california," usa""",genx,,5.0
493,5127,castelnovo monti (re), emilia romagna," italy""",millenial,8.0,9.0
494,5146,trieste, friuli venezia giulia," italy""",genz,,8.0
495,5151,madrid, madrid," spain""",genz,10.0,
496,5158,lyon, rhone," france""",genz,8.0,7.5
497,5162,tehachapi, california," usa""",boomer+,7.0,
498,5170,newark, california," usa""",youth,10.0,
499,5173,barcelona, catalunya," spain""",millenial,,10.0
500,5186,orange park, florida," usa""",genx,,3.0
